userID,age,Facebook,Instagram,WhatsApp,Twitter,LinkedIn,Snapchat,YouTube,TotalEngagement
U0001,22,2.75,1.64,2.18,0.21,0.55,0.4,1.47,9.2
U0002,46,2.35,2.69,2.51,1.9,1.33,1.73,1.33,12
U0003,42,3.91,3.66,2.6,0.27,0.33,0.51,0.05,11.33
U0004,59,,3.47,0.95,1.67,1.96,1.85,0.88,12
U0005,23,3.23,0.54,0.2,0.72,0.55,0.92,0.48,6.64
U0006,40,1.07,2.38,2.79,0.15,0.83,1.25,0.06,8.53
U0007,27,2.69,0.7,1.77,1.48,1.41,1.27,0.59,9.91
U0008,57,3.1,3.43,3.6,0.94,1.33,0.68,1.4,12
U0009,19,0.87,3.99,1.13,0.44,1.19,1.01,1.95,10.58
U0010,26,2.56,3.06,0.61,0.33,0.59,0.34,0.16,7.65
U0011,53,2.99,3.11,2.37,0.35,0.92,1.91,1.8,12
U0012,36,0.02,2.42,1.34,1.83,1.67,1.42,0.1,8.8
U0013,64,2.72,2.46,1.04,0.72,1.12,0.27,0.36,8.69
U0014,62,3.19,2.86,1.62,0.49,0.81,1.89,1.88,12
U0015,20,1.75,1.45,1.16,1.12,0.41,1.98,1.06,8.93
U0016,23,2.46,3.52,0.76,1.89,1.35,0.87,,12
U0017,24,3.6,1.45,1.53,0.37,0.9,1.28,1.98,11.11
U0018,29,1.92,3.62,2.38,1.24,0.73,1.85,1.25,12
U0019,50,2.31,0.83,,0.21,0.01,0.66,1.06,6.68
U0020,61,1.51,2.31,3.32,1.47,1.9,1.73,0.44,12
U0021,60,2.5,3.29,2.31,0.13,1.59,1.56,0.76,12
U0022,35,3.7,3.54,0.19,0.02,1.28,1.53,1.79,12
U0023,62,0.67,1.29,3.99,1.42,1.98,0.26,0.81,10.42
U0024,40,2.06,0.42,1.75,1.4,0.39,0.34,1.99,8.35
U0025,20,1.24,0.92,3.84,0.67,0.67,1.35,1.47,10.16
U0026,32,2.59,0.78,3,1.51,0.06,0.54,0.26,8.74
U0027,54,1.86,0.3,3.49,1.11,1.02,0.98,1,9.76
U0028,36,0.47,2.15,2.31,0.88,0.68,1.58,0.28,8.35
U0029,60,2.12,2.74,3.06,1.49,1.9,0.47,1.77,12
U0030,65,2.9,0.63,0.75,1.23,0.06,1.76,0.66,7.99
U0031,34,1.41,2.15,1.38,0.36,0.38,1.31,1.72,8.71
U0032,28,2.2,1.23,2.84,1.42,1.03,0.34,0.93,9.99
U0033,51,2.49,0.34,2.07,1.35,0.97,0.83,0.87,8.92
U0034,58,3.08,3.69,1.44,1.54,1.12,1.74,0.58,12
U0035,22,1.57,3.41,1.48,1.41,1.67,0.93,1.88,12
U0036,37,1.35,2.09,2.81,1.66,0.54,0.37,1.87,10.69
U0037,45,1.55,2.39,0.69,0.54,1.48,0.02,0.4,7.07
U0038,32,0.15,3.08,2.4,0.96,0.46,0.79,0.69,8.53
U0039,55,2.01,0.29,3.74,0.02,1.75,0.08,0.98,8.87
U0040,39,0.65,2.65,3.06,1.29,1.56,0.24,1.53,10.98
U0041,32,2.22,1.5,3.02,1.57,0.96,0.97,1.87,12
U0042,43,2.73,2.48,1.78,1.38,1.57,0.19,1.18,11.31
U0043,54,0.54,3.44,3.69,0.69,0.82,1.79,0.17,11.14
U0044,40,1.09,2.38,3.95,0.48,0.82,1.45,0.88,11.05
U0045,57,1.94,1.25,3.38,1.82,1.18,0.68,0.7,10.95
U0046,52,3.08,1.66,2.67,0.85,1.35,0.44,1.12,11.17
U0047,48,2.68,1.23,3.08,0.48,0.71,1.21,0.06,9.45
U0048,63,2.47,3.55,1.91,1.05,0.9,0.33,1.31,11.52
U0049,47,2.11,3.26,2.05,1.91,0.81,1.99,1.35,12
U0050,64,2.08,0.66,0.23,1.32,0.08,0.63,0.6,5.6
U0051,23,2.39,2.59,2.26,0.14,1.41,0.3,0.48,9.57
U0052,34,0.66,0.17,3.54,1.4,1.01,0.32,1.77,8.87
